email, senha
0.935844988874981@mail.com,user123   
0.11530687706968418@mail.com,user123 
0.9606285827643318@mail.com,user123  
0.3738852215571702@mail.com,user123  
0.21654897267701356@mail.com,user123 
0.3443720111120242@mail.com,user123  
0.5918453255093112@mail.com,user123  
0.9506894235341411@mail.com,user123  
0.518319072900874@mail.com,user123   
0.7492114824833035@mail.com,user123  
0.14259409808815404@mail.com,user123 
0.9619069998299523@mail.com,user123  
0.1426257619295155@mail.com,user123  
0.4172028334330655@mail.com,user123  
0.26419353061070194@mail.com,user123 
0.2208235314029487@mail.com,user123  
0.25923903883475097@mail.com,user123 
0.35561447187986384@mail.com,user123 
0.6220346573927964@mail.com,user123  
0.9851106526173646@mail.com,user123  
0.07670107665637033@mail.com,user123 
0.9292188303967713@mail.com,user123  
0.6534340546809392@mail.com,user123  
0.40808814296399515@mail.com,user123 
0.6471521488031425@mail.com,user123  
0.3528046470108235@mail.com,user123  
0.5148468726845411@mail.com,user123  
0.36700072968036884@mail.com,user123 
0.868914908326249@mail.com,user123   
0.9246835989905099@mail.com,user123  
0.45430090300000964@mail.com,user123 
0.6833607001837072@mail.com,user123  
0.7809436292715067@mail.com,user123  
0.5802558307625061@mail.com,user123  
0.8878711323971872@mail.com,user123  
0.7120523795939491@mail.com,user123  
0.46725832874613216@mail.com,user123 
0.2765298310503066@mail.com,user123  
0.1051840777514949@mail.com,user123  
0.3312549824906794@mail.com,user123  
0.21506549755390536@mail.com,user123 
0.18995777486359638@mail.com,user123 
0.7317884934931715@mail.com,user123
